chr	tag	start	end	strand	ID
chr05	gene	4003	4356	+	LOC_Os05g00988
chr05	mRNA	4003	4356	+	LOC_Os05g00988.1
chr05	exon	4003	4356	+	LOC_Os05g00988.1:exon_1
chr05	CDS	4003	4356	+	LOC_Os05g00988.1:cds_1
chr05	gene	6935	9099	+	LOC_Os05g00990
chr05	mRNA	6935	9099	+	LOC_Os05g00990.1
chr05	exon	6935	7168	+	LOC_Os05g00990.1:exon_1
chr05	exon	7271	7678	+	LOC_Os05g00990.1:exon_2
chr05	exon	8050	9099	+	LOC_Os05g00990.1:exon_3
chr05	CDS	6935	7168	+	LOC_Os05g00990.1:cds_1
chr05	CDS	7271	7678	+	LOC_Os05g00990.1:cds_2
chr05	CDS	8050	9099	+	LOC_Os05g00990.1:cds_3
chr05	gene	10947	11429	-	LOC_Os05g00992
chr05	mRNA	10947	11429	-	LOC_Os05g00992.1
chr05	exon	10947	11429	-	LOC_Os05g00992.1:exon_1
chr05	CDS	10947	11429	-	LOC_Os05g00992.1:cds_1
chr05	gene	13697	14071	+	LOC_Os05g00994
chr05	mRNA	13697	14071	+	LOC_Os05g00994.1
chr05	exon	13697	14071	+	LOC_Os05g00994.1:exon_1
chr05	CDS	13697	14071	+	LOC_Os05g00994.1:cds_1
chr05	gene	14860	18906	-	LOC_Os05g00996
chr05	mRNA	14860	18906	-	LOC_Os05g00996.1
chr05	exon	18890	18906	-	LOC_Os05g00996.1:exon_1
chr05	exon	18429	18513	-	LOC_Os05g00996.1:exon_2
chr05	exon	17621	17830	-	LOC_Os05g00996.1:exon_3
chr05	exon	15707	17584	-	LOC_Os05g00996.1:exon_4
chr05	exon	15206	15615	-	LOC_Os05g00996.1:exon_5
chr05	exon	14860	15133	-	LOC_Os05g00996.1:exon_6
chr05	CDS	18890	18906	-	LOC_Os05g00996.1:cds_1
chr05	CDS	18429	18513	-	LOC_Os05g00996.1:cds_2
chr05	CDS	17621	17830	-	LOC_Os05g00996.1:cds_3
chr05	CDS	15707	17584	-	LOC_Os05g00996.1:cds_4
chr05	CDS	15206	15615	-	LOC_Os05g00996.1:cds_5
chr05	CDS	14860	15133	-	LOC_Os05g00996.1:cds_6
chr05	gene	24458	25518	-	LOC_Os05g00998
chr05	mRNA	24458	25518	-	LOC_Os05g00998.1
chr05	exon	25247	25518	-	LOC_Os05g00998.1:exon_1
chr05	exon	24458	24722	-	LOC_Os05g00998.1:exon_2
chr05	CDS	25247	25518	-	LOC_Os05g00998.1:cds_1
chr05	CDS	24458	24722	-	LOC_Os05g00998.1:cds_2
chr05	gene	25739	26206	-	LOC_Os05g01002
chr05	mRNA	25739	26206	-	LOC_Os05g01002.1
chr05	exon	25739	26206	-	LOC_Os05g01002.1:exon_1
chr05	CDS	25739	26206	-	LOC_Os05g01002.1:cds_1
chr05	gene	26714	30992	-	LOC_Os05g01006
chr05	mRNA	26714	30992	-	LOC_Os05g01006.1
chr05	exon	30940	30992	-	LOC_Os05g01006.1:exon_1
chr05	exon	30115	30180	-	LOC_Os05g01006.1:exon_2
chr05	exon	29295	29595	-	LOC_Os05g01006.1:exon_3
chr05	exon	27998	28480	-	LOC_Os05g01006.1:exon_4
chr05	exon	27597	27863	-	LOC_Os05g01006.1:exon_5
chr05	exon	26714	27382	-	LOC_Os05g01006.1:exon_6
chr05	CDS	30940	30992	-	LOC_Os05g01006.1:cds_1
chr05	CDS	30115	30180	-	LOC_Os05g01006.1:cds_2
chr05	CDS	29295	29595	-	LOC_Os05g01006.1:cds_3
chr05	CDS	27998	28480	-	LOC_Os05g01006.1:cds_4
chr05	CDS	27597	27863	-	LOC_Os05g01006.1:cds_5
chr05	CDS	26714	27382	-	LOC_Os05g01006.1:cds_6
chr05	gene	33369	36741	+	LOC_Os05g01010
chr05	mRNA	33369	36741	+	LOC_Os05g01010.2
chr05	exon	33369	33492	+	LOC_Os05g01010.2:exon_1
chr05	exon	33595	33950	+	LOC_Os05g01010.2:exon_2
chr05	exon	34676	35119	+	LOC_Os05g01010.2:exon_3
chr05	exon	35223	35510	+	LOC_Os05g01010.2:exon_4
chr05	exon	35765	35838	+	LOC_Os05g01010.2:exon_5
chr05	exon	36270	36741	+	LOC_Os05g01010.2:exon_6
chr05	five_prime_UTR	33369	33492	+	LOC_Os05g01010.2:utr_1
chr05	five_prime_UTR	33595	33950	+	LOC_Os05g01010.2:utr_2
chr05	five_prime_UTR	34676	34702	+	LOC_Os05g01010.2:utr_3
chr05	CDS	34703	35119	+	LOC_Os05g01010.2:cds_1
chr05	CDS	35223	35510	+	LOC_Os05g01010.2:cds_2
chr05	three_prime_UTR	35765	35838	+	LOC_Os05g01010.2:utr_4
chr05	three_prime_UTR	36270	36741	+	LOC_Os05g01010.2:utr_5
chr05	mRNA	33369	36741	+	LOC_Os05g01010.3
chr05	exon	33369	33492	+	LOC_Os05g01010.3:exon_1
chr05	exon	33595	33692	+	LOC_Os05g01010.3:exon_2
chr05	exon	33837	33950	+	LOC_Os05g01010.3:exon_3
chr05	exon	34676	35119	+	LOC_Os05g01010.3:exon_4
chr05	exon	35223	35510	+	LOC_Os05g01010.3:exon_5
chr05	exon	36270	36741	+	LOC_Os05g01010.3:exon_6
chr05	five_prime_UTR	33369	33492	+	LOC_Os05g01010.3:utr_1
chr05	five_prime_UTR	33595	33692	+	LOC_Os05g01010.3:utr_2
chr05	five_prime_UTR	33837	33950	+	LOC_Os05g01010.3:utr_3
chr05	five_prime_UTR	34676	34702	+	LOC_Os05g01010.3:utr_4
chr05	CDS	34703	35119	+	LOC_Os05g01010.3:cds_1
chr05	CDS	35223	35510	+	LOC_Os05g01010.3:cds_2
chr05	three_prime_UTR	36270	36741	+	LOC_Os05g01010.3:utr_5
chr05	gene	71040	73337	-	LOC_Os05g01050
chr05	mRNA	71040	73337	-	LOC_Os05g01050.1
chr05	exon	73113	73337	-	LOC_Os05g01050.1:exon_1
chr05	exon	72714	72935	-	LOC_Os05g01050.1:exon_2
chr05	exon	71040	71580	-	LOC_Os05g01050.1:exon_3
chr05	five_prime_UTR	73113	73337	-	LOC_Os05g01050.1:utr_3
chr05	five_prime_UTR	72928	72935	-	LOC_Os05g01050.1:utr_2
chr05	CDS	72714	72927	-	LOC_Os05g01050.1:cds_1
chr05	CDS	71390	71580	-	LOC_Os05g01050.1:cds_2
chr05	three_prime_UTR	71040	71389	-	LOC_Os05g01050.1:utr_1
chr05	mRNA	71040	73223	-	LOC_Os05g01050.2
chr05	exon	73032	73223	-	LOC_Os05g01050.2:exon_1
chr05	exon	72714	72935	-	LOC_Os05g01050.2:exon_2
chr05	exon	71040	71580	-	LOC_Os05g01050.2:exon_3
chr05	five_prime_UTR	73032	73223	-	LOC_Os05g01050.2:utr_3
chr05	five_prime_UTR	72928	72935	-	LOC_Os05g01050.2:utr_2
chr05	CDS	72714	72927	-	LOC_Os05g01050.2:cds_1
chr05	CDS	71390	71580	-	LOC_Os05g01050.2:cds_2
chr05	three_prime_UTR	71040	71389	-	LOC_Os05g01050.2:utr_1
chr05	mRNA	71040	73337	-	LOC_Os05g01050.3
chr05	exon	73113	73337	-	LOC_Os05g01050.3:exon_1
chr05	exon	72714	72952	-	LOC_Os05g01050.3:exon_2
chr05	exon	71040	71580	-	LOC_Os05g01050.3:exon_3
chr05	five_prime_UTR	73113	73337	-	LOC_Os05g01050.3:utr_3
chr05	five_prime_UTR	72928	72952	-	LOC_Os05g01050.3:utr_2
chr05	CDS	72714	72927	-	LOC_Os05g01050.3:cds_1
chr05	CDS	71390	71580	-	LOC_Os05g01050.3:cds_2
chr05	three_prime_UTR	71040	71389	-	LOC_Os05g01050.3:utr_1
chr05	gene	75185	83483	-	LOC_Os05g01060
chr05	mRNA	75185	83483	-	LOC_Os05g01060.1
chr05	exon	83153	83483	-	LOC_Os05g01060.1:exon_1
chr05	exon	83004	83066	-	LOC_Os05g01060.1:exon_2
chr05	exon	82527	82828	-	LOC_Os05g01060.1:exon_3
chr05	exon	82355	82448	-	LOC_Os05g01060.1:exon_4
chr05	exon	82195	82272	-	LOC_Os05g01060.1:exon_5
chr05	exon	82055	82114	-	LOC_Os05g01060.1:exon_6
chr05	exon	81875	81979	-	LOC_Os05g01060.1:exon_7
chr05	exon	81336	81446	-	LOC_Os05g01060.1:exon_8
chr05	exon	80861	80902	-	LOC_Os05g01060.1:exon_9
chr05	exon	80565	80681	-	LOC_Os05g01060.1:exon_10
chr05	exon	80306	80493	-	LOC_Os05g01060.1:exon_11
chr05	exon	79488	79771	-	LOC_Os05g01060.1:exon_12
chr05	exon	79273	79394	-	LOC_Os05g01060.1:exon_13
chr05	exon	79114	79156	-	LOC_Os05g01060.1:exon_14
chr05	exon	78912	79003	-	LOC_Os05g01060.1:exon_15
chr05	exon	78383	78431	-	LOC_Os05g01060.1:exon_16
chr05	exon	78047	78117	-	LOC_Os05g01060.1:exon_17
chr05	exon	77835	77954	-	LOC_Os05g01060.1:exon_18
chr05	exon	77075	77163	-	LOC_Os05g01060.1:exon_19
chr05	exon	76150	76195	-	LOC_Os05g01060.1:exon_20
chr05	exon	75185	75551	-	LOC_Os05g01060.1:exon_21
chr05	five_prime_UTR	83282	83483	-	LOC_Os05g01060.1:utr_2
chr05	CDS	83153	83281	-	LOC_Os05g01060.1:cds_1
chr05	CDS	83004	83066	-	LOC_Os05g01060.1:cds_2
chr05	CDS	82527	82828	-	LOC_Os05g01060.1:cds_3
chr05	CDS	82355	82448	-	LOC_Os05g01060.1:cds_4
chr05	CDS	82195	82272	-	LOC_Os05g01060.1:cds_5
chr05	CDS	82055	82114	-	LOC_Os05g01060.1:cds_6
chr05	CDS	81875	81979	-	LOC_Os05g01060.1:cds_7
chr05	CDS	81336	81446	-	LOC_Os05g01060.1:cds_8
chr05	CDS	80861	80902	-	LOC_Os05g01060.1:cds_9
chr05	CDS	80565	80681	-	LOC_Os05g01060.1:cds_10
chr05	CDS	80306	80493	-	LOC_Os05g01060.1:cds_11
chr05	CDS	79488	79771	-	LOC_Os05g01060.1:cds_12
chr05	CDS	79273	79394	-	LOC_Os05g01060.1:cds_13
chr05	CDS	79114	79156	-	LOC_Os05g01060.1:cds_14
chr05	CDS	78912	79003	-	LOC_Os05g01060.1:cds_15
chr05	CDS	78383	78431	-	LOC_Os05g01060.1:cds_16
